"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11"
"1","shit","dead","youre","love","hes","life","god","call","day","run","time"
"2","money","kill","ill","baby","rock","ive","soul","chorus","night","hand","heart"
"3","bitch","blood","hold","girl","boy","world","fly","stop","eyes","head","fall"
"4","hit","hate","leave","shes","roll","live","heaven","play","dream","burn","waiting"
"5","niggas","death","youll","tonight","town","mind","lord","people","light","fire","walk"
"6","yall","black","youve","kiss","ride","lie","wind","move","sun","watch","cry"
"7","ass","war","stay","gotta","home","change","angel","dance","blue","breath","words"
"8","real","die","feeling","sweet","city","inside","water","talk","stars","wall","left"
"9","gotta","fear","home","mine","drink","die","rise","bad","rain","hell","break"
"10","wit","power","friend","true","white","stand","land","coming","sleep","line","song"
"11","damn","pain","care","touch","house","lost","sea","hear","close","ground","tears"
"12","gon","human","wrong","woman","street","free","deep","round","shine","cold","remember"
"13","bout","sick","hard","crazy","car","forever","born","body","sky","air","sing"
"14","check","evil","miss","boy","drive","lose","pray","start","morning","theyre","forget"
"15","game","bleed","hurt","lover","road","fight","follow","sound","beautiful","feet","lonely"
"16","gettin","hell","didnt","real","kids","hope","carry","bring","dark","pull","hear"
"17","dog","fucking","whats","honey","mama","found","king","listen","wake","step","start"
"18","verse","insane","matter","babe","train","pain","grow","beat","smile","stone","happy"
"19","goin","feed","alright","lady","daddy","save","child","music","fade","cut","goodbye"
"20","street","rules","fool","bit","fun","reason","sing","ready","tomorrow","hang","easy"
